provider,model,game_number,answer_1,answer_2,answer_3,answer_4,answer_5,answer_6,answer_7,answer_8,answer_9,answer_10,answer_11,answer_12,answer_13,answer_14,answer_15,answer_16,answer_17,answer_18,answer_19,answer_20
openai,gpt-4o-mini,4,A,B,B,B,A,B,B,A,B,B,B,B,B,B,A,B,B,B,B,B
openai,gpt-4o-mini,5,A,B,B,B,A,B,B,A,B,B,B,B,B,B,A,B,B,B,B,B
openai,gpt-4o-mini,6,A,B,B,B,A,B,B,A,B,B,B,B,B,B,A,B,B,B,B,B
openai,gpt-4o-mini,7,A,B,B,B,A,B,B,A,B,B,B,B,B,B,A,B,B,B,B,B
openai,gpt-4o-mini,8,A,B,B,B,A,B,B,A,B,B,B,B,B,B,A,B,B,B,B,B
openai,gpt-4o-mini,9,A,B,B,B,A,B,B,A,B,B,B,B,B,B,A,B,B,B,B,B
openai,gpt-4o-mini,10,A,B,B,B,A,B,B,A,B,B,B,B,B,B,A,B,A,B,B,B
openai,gpt-5.4-nano,1,A,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
openai,gpt-5.4-nano,2,A,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,A,B,B,B
openai,gpt-5.4-nano,3,A,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
openai,gpt-5.4-nano,4,A,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
openai,gpt-5.4-nano,5,A,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
openai,gpt-5.4-nano,6,A,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
openai,gpt-5.4-nano,7,A,B,B,B,A,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
openai,gpt-5.4-nano,8,A,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
openai,gpt-5.4-nano,9,A,B,B,B,B,A,B,B,B,B,B,B,B,B,B,B,B,B,B,B
openai,gpt-5.4-nano,10,A,B,B,B,B,B,B,A,B,B,B,B,B,B,B,B,B,B,B,B
openai,gpt-5.6-luna,1,A,B,B,B,A,B,B,A,B,B,B,B,B,B,A,B,A,B,B,B
openai,gpt-5.6-luna,2,A,B,B,B,A,B,B,A,B,B,B,B,B,B,B,B,B,B,B,B
openai,gpt-5.6-luna,3,A,B,B,B,A,B,B,A,B,B,B,B,B,B,B,B,B,B,B,B
openai,gpt-5.6-luna,4,A,B,B,B,A,B,B,A,B,B,B,B,B,B,B,B,B,B,B,B
openai,gpt-5.6-luna,5,A,B,B,B,A,B,B,A,B,B,B,B,B,B,A,B,A,B,B,B
openai,gpt-5.6-luna,6,A,B,B,B,A,B,B,A,B,B,B,B,B,B,B,B,A,B,B,B
openai,gpt-5.6-luna,7,A,B,B,B,A,B,B,A,B,B,B,B,B,B,A,B,A,B,B,B
openai,gpt-5.6-luna,8,A,B,B,B,A,B,B,A,B,B,B,B,B,B,A,B,A,B,B,B
openai,gpt-5.6-luna,9,A,B,B,B,A,B,B,A,B,B,B,B,B,B,A,B,A,B,B,B
openai,gpt-5.6-luna,10,A,B,B,B,A,B,B,A,B,B,B,B,B,B,B,B,B,B,B,B
openai,gpt-3.5-turbo,1,,,,,,,,,,,,,,,,,,,,
openai,gpt-3.5-turbo,2,,,,,,,,,,,,,,,,,,,,
openai,gpt-3.5-turbo,3,,,,,,,,,,,,,,,,,,,,
openai,gpt-3.5-turbo,4,,,,,,,,,,,,,,,,,,,,
openai,gpt-3.5-turbo,5,,,,,,,,,,,,,,,,,,,,
openai,gpt-3.5-turbo,6,,,,,,,,,,,,,,,,,,,,
openai,gpt-3.5-turbo,7,,,,,,,,,,,,,,,,,,,,
openai,gpt-3.5-turbo,8,,,,,,,,,,,,,,,,,,,,
openai,gpt-3.5-turbo,9,,,,,,,,,,,,,,,,,,,,
openai,gpt-3.5-turbo,10,,,,,,,,,,,,,,,,,,,,
openai,gpt-4.1-mini,1,A,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
openai,gpt-4.1-mini,2,A,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
openai,gpt-4.1-mini,3,A,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
openai,gpt-4.1-mini,4,A,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
openai,gpt-4.1-mini,5,A,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
openai,gpt-4.1-mini,6,A,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
openai,gpt-4.1-mini,7,A,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
openai,gpt-4.1-mini,8,A,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
openai,gpt-4.1-mini,9,A,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
openai,gpt-4.1-mini,10,A,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
openai,gpt-5.4-mini,1,A,B,B,B,A,A,B,A,B,B,B,B,B,B,A,A,A,B,B,B
openai,gpt-5.4-mini,2,A,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
openai,gpt-5.4-mini,3,A,B,B,B,A,B,B,A,B,B,B,B,B,B,A,B,A,B,B,B
openai,gpt-5.4-mini,4,A,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
openai,gpt-5.4-mini,5,A,B,B,B,A,B,B,A,B,B,B,B,B,B,A,B,A,B,B,B
openai,gpt-5.4-mini,6,A,B,B,B,A,B,B,A,B,B,B,B,B,B,A,B,A,B,B,B
openai,gpt-5.4-mini,7,A,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
openai,gpt-5.4-mini,8,A,B,B,B,A,B,B,A,B,B,B,B,B,B,A,B,A,B,B,B
openai,gpt-5.4-mini,9,A,B,B,B,A,B,B,A,B,B,B,B,B,B,A,B,A,B,B,B
openai,gpt-5.4-mini,10,A,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
openai,gpt-4o,1,A,B,B,B,A,B,B,A,B,B,B,B,B,B,A,B,A,B,B,B
openai,gpt-4o,2,A,B,B,B,A,B,B,A,B,B,B,B,B,B,A,B,A,B,B,B
openai,gpt-4o,3,A,B,B,B,A,B,B,A,B,B,B,B,B,B,A,B,A,B,B,B
openai,gpt-4o,4,A,B,B,B,A,B,B,A,B,B,B,B,B,B,B,B,B,B,B,B
openai,gpt-4o,5,A,B,B,B,A,B,B,A,B,B,B,B,B,B,A,B,A,B,B,B
openai,gpt-4o,6,A,B,B,B,A,B,B,A,B,B,B,B,B,B,A,B,A,B,B,B
openai,gpt-4o,7,A,B,B,B,A,B,B,A,B,B,B,B,B,B,A,B,A,B,B,B
openai,gpt-4o,8,A,B,B,B,A,B,B,A,B,B,B,B,B,B,A,B,B,B,B,B
openai,gpt-4o,9,A,B,B,B,A,B,B,A,B,B,B,B,B,B,A,B,A,B,B,B
openai,gpt-4o,10,A,B,B,B,A,B,B,B,B,B,B,B,B,B,B,B,A,B,B,B
openai,gpt-5.6-terra,1,A,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
openai,gpt-5.6-terra,2,A,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
openai,gpt-5.6-terra,3,A,B,B,B,B,B,B,A,B,B,B,B,B,B,B,B,B,B,B,B
openai,gpt-5.6-terra,4,A,B,B,B,B,B,B,A,B,B,B,B,B,B,B,B,B,B,B,B
openai,gpt-5.6-terra,5,A,B,B,B,B,B,B,A,B,B,B,B,B,B,B,B,B,B,B,B
openai,gpt-5.6-terra,6,A,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
openai,gpt-5.6-terra,7,A,B,B,B,B,B,B,A,B,B,B,B,B,B,B,B,B,B,B,B
openai,gpt-5.6-terra,8,A,B,B,B,B,B,B,A,B,B,B,B,B,B,B,B,B,B,B,B
openai,gpt-5.6-terra,9,A,B,B,B,B,B,B,A,B,B,B,B,B,B,B,B,B,B,B,B
openai,gpt-5.6-terra,10,A,B,B,B,B,B,B,A,B,B,B,B,B,B,B,B,B,B,B,B
